,track_name,artist_name,album,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
,Fly on the Wings of Love,Brødrene Olsen,Wings Of Love,2000,0.745,0.839,2,-5.405,1,0.0532,0.271,1.89e-05,0.0985,0.807,104.023,audio_features,4v2RaPHSsTvNkggw3RqyeT,spotify:track:4v2RaPHSsTvNkggw3RqyeT,https://api.spotify.com/v1/tracks/4v2RaPHSsTvNkggw3RqyeT,https://api.spotify.com/v1/audio-analysis/4v2RaPHSsTvNkggw3RqyeT,185067,4
,Solo,Alsou,Solo,2000-07-21,0.723,0.837,10,-6.631,0,0.0324,0.356,0,0.143,0.802,104.947,audio_features,6bSUJwaWBtpwBHXo8XFDwZ,spotify:track:6bSUJwaWBtpwBHXo8XFDwZ,https://api.spotify.com/v1/tracks/6bSUJwaWBtpwBHXo8XFDwZ,https://api.spotify.com/v1/audio-analysis/6bSUJwaWBtpwBHXo8XFDwZ,171707,4
,My Star,Brainstorm,Among The Suns,2000,0.547,0.84,5,-6.98,1,0.0389,0.0934,6.74e-05,0.16,0.619,135.258,audio_features,4R2tCloerHegAfPWjR3o7d,spotify:track:4R2tCloerHegAfPWjR3o7d,https://api.spotify.com/v1/tracks/4R2tCloerHegAfPWjR3o7d,https://api.spotify.com/v1/audio-analysis/4R2tCloerHegAfPWjR3o7d,186018,4
,Once in a Lifetime,Ines,Algarve 2000,2017-03-24,0.803,0.951,3,-5.924,1,0.0324,0.0485,0,0.242,0.667,130.014,audio_features,55UfaPVSoIxJpZYb78CX6m,spotify:track:55UfaPVSoIxJpZYb78CX6m,https://api.spotify.com/v1/tracks/55UfaPVSoIxJpZYb78CX6m,https://api.spotify.com/v1/audio-analysis/55UfaPVSoIxJpZYb78CX6m,241133,4
,Once in a Lifetime - Remake,Ines,Once in a Lifetime (Remake),2020-02-14,0.547,0.538,1,-9.779,1,0.0302,0.427,0,0.0753,0.385,121.988,audio_features,19Y42jcrqN5vAVNUo89umu,spotify:track:19Y42jcrqN5vAVNUo89umu,https://api.spotify.com/v1/tracks/19Y42jcrqN5vAVNUo89umu,https://api.spotify.com/v1/audio-analysis/19Y42jcrqN5vAVNUo89umu,247810,4
,Wadde Hadde Dudde Da?,German Band Music,German Music,2009-12-30,0.731,0.931,0,-5.799,1,0.06,0.121,0,0.364,0.917,118.004,audio_features,2BMOV8UZtc6Ex04SEXW54j,spotify:track:2BMOV8UZtc6Ex04SEXW54j,https://api.spotify.com/v1/tracks/2BMOV8UZtc6Ex04SEXW54j,https://api.spotify.com/v1/audio-analysis/2BMOV8UZtc6Ex04SEXW54j,211800,4
,Millennium of Love,Eamonn Toal,Millennium of Love,2000-01-01,0.421,0.475,4,-6.225,1,0.0317,0.583,0,0.155,0.279,76.007,audio_features,7kG3nv4PDzzpWtMA3kS30q,spotify:track:7kG3nv4PDzzpWtMA3kS30q,https://api.spotify.com/v1/tracks/7kG3nv4PDzzpWtMA3kS30q,https://api.spotify.com/v1/audio-analysis/7kG3nv4PDzzpWtMA3kS30q,186427,4
,When Spirits Are Calling My Name,Roger Pontare,When Spirits Are Calling My Name,2000-05-01,0.534,0.85,7,-3.004,0,0.0613,0.0539,1.7e-06,0.278,0.47,122.798,audio_features,27L4okgASeyUAzZ7etleyQ,spotify:track:27L4okgASeyUAzZ7etleyQ,https://api.spotify.com/v1/tracks/27L4okgASeyUAzZ7etleyQ,https://api.spotify.com/v1/audio-analysis/27L4okgASeyUAzZ7etleyQ,182813,4
,Desire - ESC 2000,Claudette Pace,Malta’s Eurovision Hits,2014-03-18,0.712,0.815,7,-6.28,1,0.0948,0.345,0,0.058,0.524,105.953,audio_features,4Ngtct85sXmayXB5Ga7CuK,spotify:track:4Ngtct85sXmayXB5Ga7CuK,https://api.spotify.com/v1/tracks/4Ngtct85sXmayXB5Ga7CuK,https://api.spotify.com/v1/audio-analysis/4Ngtct85sXmayXB5Ga7CuK,182787,4
,Kada zaspu andeli (Ostatni) Pokochaj mnie,Goran Karan,Melodie znad Adriatyku,2013-01-01,0.449,0.556,4,-8.241,0,0.0395,0.669,0,0.568,0.278,77.547,audio_features,05iJ0sJX3yiLBvtBFODkC9,spotify:track:05iJ0sJX3yiLBvtBFODkC9,https://api.spotify.com/v1/tracks/05iJ0sJX3yiLBvtBFODkC9,https://api.spotify.com/v1/audio-analysis/05iJ0sJX3yiLBvtBFODkC9,204373,4
