track_name,artist_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Se Amarrou na Pt,"Boladin 211, DJ Neeh",0.808,0.692,8,-6.172,0,0.281,0.439,0,0.0773,0.715,130.018,audio_features,50DHvjiRqDeFR7Ou9WCJPp,spotify:track:50DHvjiRqDeFR7Ou9WCJPp,https://api.spotify.com/v1/tracks/50DHvjiRqDeFR7Ou9WCJPp,https://api.spotify.com/v1/audio-analysis/50DHvjiRqDeFR7Ou9WCJPp,143668,4
What For? - Radio Edit,"Aisha, Aija Andrejeva",0.644,0.624,7,-4.293,0,0.0294,0.056,0,0.191,0.451,77.955,audio_features,3aUtmu4VTqAFkk4sFQ5kNa,spotify:track:3aUtmu4VTqAFkk4sFQ5kNa,https://api.spotify.com/v1/tracks/3aUtmu4VTqAFkk4sFQ5kNa,https://api.spotify.com/v1/audio-analysis/3aUtmu4VTqAFkk4sFQ5kNa,179453,4
Miss Kiss Kiss Bang - Radio Version,Alex Swings Oscar Sings!,0.624,0.889,10,-4.482,0,0.212,0.107,0,0.205,0.561,135.996,audio_features,0LUwe0PKdjLtAoq4uRIGzT,spotify:track:0LUwe0PKdjLtAoq4uRIGzT,https://api.spotify.com/v1/tracks/0LUwe0PKdjLtAoq4uRIGzT,https://api.spotify.com/v1/audio-analysis/0LUwe0PKdjLtAoq4uRIGzT,183600,4
"Requiem in D Minor, K. 626: Sequence: VI. Lacrimosa dies illa","Wolfgang Amadeus Mozart, Magdaléna Hajóssyová, Jaroslava Horska, Jozef Kundlák, Peter Mikulas, Vladimir Ruso, Slovak Philharmonic Chorus, Slovak Philharmonic, Zdeněk Košler",0.069,0.101,2,-23.487,0,0.0407,0.961,0.795,0.444,0.0707,74.782,audio_features,5p3xMIHQ6YoAIaSgZeOkNa,spotify:track:5p3xMIHQ6YoAIaSgZeOkNa,https://api.spotify.com/v1/tracks/5p3xMIHQ6YoAIaSgZeOkNa,https://api.spotify.com/v1/audio-analysis/5p3xMIHQ6YoAIaSgZeOkNa,199840,4
Just Get out of My Life - ESC-Version,"Andrea Demirović, Spike Streefkerk, Claus Bräunlein",0.559,0.908,7,-3.384,0,0.0491,0.0237,2.21e-05,0.657,0.555,137.727,audio_features,1i4cKcN9XLS1EN93tOtL0r,spotify:track:1i4cKcN9XLS1EN93tOtL0r,https://api.spotify.com/v1/tracks/1i4cKcN9XLS1EN93tOtL0r,https://api.spotify.com/v1/audio-analysis/1i4cKcN9XLS1EN93tOtL0r,181467,4
Love Me Tonight,Angelica Agurbash,0.682,0.8,2,-6.149,0,0.0411,0.009,0,0.152,0.656,131.013,audio_features,4WcsDeyMgGIdOpgludge3u,spotify:track:4WcsDeyMgGIdOpgludge3u,https://api.spotify.com/v1/tracks/4WcsDeyMgGIdOpgludge3u,https://api.spotify.com/v1/audio-analysis/4WcsDeyMgGIdOpgludge3u,181701,4
In Love For A While - Radio Version,Anna Rossinelli,0.761,0.398,9,-6.472,1,0.0375,0.251,0,0.0976,0.652,127.919,audio_features,4GtO1RnTMOhGusfp63Q3MN,spotify:track:4GtO1RnTMOhGusfp63Q3MN,https://api.spotify.com/v1/tracks/4GtO1RnTMOhGusfp63Q3MN,https://api.spotify.com/v1/audio-analysis/4GtO1RnTMOhGusfp63Q3MN,168949,4
Can I Get It,Adele,0.703,0.68,9,-6.118,0,0.0431,0.0171,0,0.178,0.536,97.985,audio_features,6w8ZPYdnGajyfPddTWdthN,spotify:track:6w8ZPYdnGajyfPddTWdthN,https://api.spotify.com/v1/tracks/6w8ZPYdnGajyfPddTWdthN,https://api.spotify.com/v1/audio-analysis/6w8ZPYdnGajyfPddTWdthN,210384,4
Believe in Me (Radio Edit),Bonnie Tyler,0.597,0.652,8,-5.739,1,0.0263,0.258,0.000498,0.103,0.382,131.945,audio_features,6CEcpl4x9xv0KPe6o2xiDA,spotify:track:6CEcpl4x9xv0KPe6o2xiDA,https://api.spotify.com/v1/tracks/6CEcpl4x9xv0KPe6o2xiDA,https://api.spotify.com/v1/audio-analysis/6CEcpl4x9xv0KPe6o2xiDA,182840,4
Kedvesem - Zoohacker Remix,ByeAlex,0.657,0.642,5,-7.11,1,0.0685,0.432,0,0.155,0.57,171.785,audio_features,23fCWypxkzbzywnpM9opZm,spotify:track:23fCWypxkzbzywnpM9opZm,https://api.spotify.com/v1/tracks/23fCWypxkzbzywnpM9opZm,https://api.spotify.com/v1/audio-analysis/23fCWypxkzbzywnpM9opZm,186976,4
Glorious - Video Edit,Cascada,0.564,0.856,7,-5.075,0,0.0538,0.00314,3.74e-05,0.312,0.319,127.983,audio_features,1UqzLT0ZGWXD9K5npit5Nr,spotify:track:1UqzLT0ZGWXD9K5npit5Nr,https://api.spotify.com/v1/tracks/1UqzLT0ZGWXD9K5npit5Nr,https://api.spotify.com/v1/audio-analysis/1UqzLT0ZGWXD9K5npit5Nr,207594,4
SloMo,Chanel,0.728,0.814,1,-3.29,0,0.0571,0.125,0.00448,0.0927,0.594,104.962,audio_features,0T71AvVXY4RB65tvdIyzdO,spotify:track:0T71AvVXY4RB65tvdIyzdO,https://api.spotify.com/v1/tracks/0T71AvVXY4RB65tvdIyzdO,https://api.spotify.com/v1/audio-analysis/0T71AvVXY4RB65tvdIyzdO,176286,4
Angel for Sale,"Chiara Brittanni, Ludovico Monteverdi, Peter Zemotions",0.197,0.139,2,-23.468,0,0.0358,0.976,0.852,0.104,0.204,72.665,audio_features,4fChQSehn1Ln8rEkHFRKbS,spotify:track:4fChQSehn1Ln8rEkHFRKbS,https://api.spotify.com/v1/tracks/4fChQSehn1Ln8rEkHFRKbS,https://api.spotify.com/v1/audio-analysis/4fChQSehn1Ln8rEkHFRKbS,153225,3
Truth - Remix,"Chingiz Mustafayev, Bora Borsiczky",0.746,0.833,8,-5.505,0,0.0457,0.00414,0.0131,0.0668,0.874,115.998,audio_features,6NTGXhfl7ya97C5kqp3oVD,spotify:track:6NTGXhfl7ya97C5kqp3oVD,https://api.spotify.com/v1/tracks/6NTGXhfl7ya97C5kqp3oVD,https://api.spotify.com/v1/audio-analysis/6NTGXhfl7ya97C5kqp3oVD,320690,4
Alvedansen - ESC Version,Christine Guldbrandsen,0.347,0.639,7,-7.214,0,0.0303,0.261,3.29e-05,0.107,0.521,172.175,audio_features,4LzDyi8rjnbV6f6CR1Sq7N,spotify:track:4LzDyi8rjnbV6f6CR1Sq7N,https://api.spotify.com/v1/tracks/4LzDyi8rjnbV6f6CR1Sq7N,https://api.spotify.com/v1/audio-analysis/4LzDyi8rjnbV6f6CR1Sq7N,174920,4
I KNOW WHO I AM,"Storm of the Cosmos, Jaded Lightning Productions",0.425,0.311,0,-14.408,0,0.0958,0.832,0.000261,0.108,0.418,99.92,audio_features,5fkdqj6z9F4JNllYDMzGWl,spotify:track:5fkdqj6z9F4JNllYDMzGWl,https://api.spotify.com/v1/tracks/5fkdqj6z9F4JNllYDMzGWl,https://api.spotify.com/v1/audio-analysis/5fkdqj6z9F4JNllYDMzGWl,449020,4
Teenage Life - Radio Edit,Daz Sampson,0.639,0.925,7,-5.087,1,0.101,0.342,1.47e-06,0.799,0.489,89.994,audio_features,1YwSsM1BepFjsmBU1HLszH,spotify:track:1YwSsM1BepFjsmBU1HLszH,https://api.spotify.com/v1/tracks/1YwSsM1BepFjsmBU1HLszH,https://api.spotify.com/v1/audio-analysis/1YwSsM1BepFjsmBU1HLszH,188667,4
DJ Take Me Away,"Deep Zone Project, Balthazar",0.666,0.933,5,-5.132,0,0.0512,0.000271,0.0919,0.762,0.825,130.059,audio_features,08zy66ouSSgepSFtYqH4Tm,spotify:track:08zy66ouSSgepSFtYqH4Tm,https://api.spotify.com/v1/tracks/08zy66ouSSgepSFtYqH4Tm,https://api.spotify.com/v1/audio-analysis/08zy66ouSSgepSFtYqH4Tm,180480,4
